상호명,시도명,시군구명
스타벅스,경기도,포천시
스타벅스,경기도,고양시 일산동구
스타벅스,경기도,평택시
빽다방,경기도,안양시 동안구
스타벅스,경기도,부천시
커피빈,경기도,화성시
스타벅스,경기도,안산시 단원구
이디야,경기도,용인시 기흥구
이디야,경기도,수원시 영통구
스타벅스,경기도,의정부시
이디야,경기도,부천시
이디야,경기도,용인시 처인구
이디야,경기도,고양시 일산서구
이디야,경기도,구리시
커피빈,경기도,이천시
커피빈,경기도,성남시 분당구
스타벅스,경기도,남양주시
스타벅스,경기도,수원시 팔달구
이디야,경기도,남양주시
빽다방,경기도,수원시 팔달구
커피빈,경기도,용인시 수지구
이디야,경기도,고양시 덕양구
이디야,경기도,의왕시
스타벅스,경기도,고양시 일산동구
스타벅스,경기도,용인시 기흥구
이디야,경기도,용인시 수지구
이디야,경기도,남양주시
스타벅스,경기도,의정부시
이디야,경기도,평택시
이디야,경기도,안산시 상록구
이디야,경기도,수원시 팔달구
스타벅스,경기도,하남시
이디야,경기도,의정부시
빽다방,경기도,성남시 수정구
빽다방,경기도,안양시 동안구
스타벅스,경기도,의정부시
이디야,경기도,수원시 영통구
이디야,경기도,광명시
이디야,경기도,의정부시
이디야,경기도,안산시 상록구
이디야,경기도,안산시 단원구
스타벅스,경기도,용인시 기흥구
이디야,경기도,안산시 상록구
스타벅스,경기도,김포시
빽다방,경기도,성남시 분당구
이디야,경기도,시흥시
스타벅스,경기도,성남시 분당구
스타벅스,경기도,과천시
이디야,경기도,남양주시
스타벅스,경기도,이천시
스타벅스,경기도,고양시 덕양구
빽다방,경기도,수원시 영통구
빽다방,경기도,안산시 상록구
빽다방,경기도,용인시 수지구
이디야,경기도,안산시 단원구
빽다방,경기도,용인시 기흥구
스타벅스,경기도,이천시
커피빈,경기도,연천군
스타벅스,경기도,김포시
이디야,경기도,파주시
이디야,경기도,화성시
이디야,경기도,김포시
스타벅스,경기도,파주시
이디야,경기도,광명시
스타벅스,경기도,시흥시
